contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,type,symbol,expiry,timestamp
AAPL251114P00210000,2025-11-07 20:10:00+00:00,210.0,0.02,0.01,0.02,0.01,100.0,205.0,647,0.6796907031250001,False,REGULAR,USD,put,AAPL,2025-11-14,2025-11-09 05:50:24.463177
AAPL251114P00215000,2025-11-07 20:20:57+00:00,215.0,0.02,0.01,0.02,0.0,0.0,4.0,581,0.6171913281250001,False,REGULAR,USD,put,AAPL,2025-11-14,2025-11-09 05:50:24.463177
AAPL251114P00220000,2025-11-07 20:54:33+00:00,220.0,0.02,0.01,0.03,-0.01,-33.333336,361.0,949,0.57812921875,False,REGULAR,USD,put,AAPL,2025-11-14,2025-11-09 05:50:24.463177
AAPL251114P00225000,2025-11-07 20:53:50+00:00,225.0,0.04,0.02,0.04,0.01,33.333336,283.0,1122,0.5429733203125001,False,REGULAR,USD,put,AAPL,2025-11-14,2025-11-09 05:50:24.463177
AAPL251114P00230000,2025-11-07 20:54:06+00:00,230.0,0.04,0.03,0.05,0.0,0.0,553.0,1580,0.5117236328125,False,REGULAR,USD,put,AAPL,2025-11-14,2025-11-09 05:50:24.463177
AAPL251114P00235000,2025-11-07 20:52:50+00:00,235.0,0.06,0.05,0.06,0.009999998,19.999996,804.0,1830,0.45898978515625005,False,REGULAR,USD,put,AAPL,2025-11-14,2025-11-09 05:50:24.463177
AAPL251114P00237500,2025-11-07 20:56:22+00:00,237.5,0.07,0.06,0.07,0.010000002,16.66667,56.0,155,0.43555251953125,False,REGULAR,USD,put,AAPL,2025-11-14,2025-11-09 05:50:24.463177
AAPL251114P00240000,2025-11-07 20:58:39+00:00,240.0,0.07,0.07,0.08,-0.020000003,-22.222225,1738.0,3174,0.4101621484375,False,REGULAR,USD,put,AAPL,2025-11-14,2025-11-09 05:50:24.463177
AAPL251114P00242500,2025-11-07 20:59:28+00:00,242.5,0.09,0.09,0.1,-0.019999996,-18.181814,606.0,693,0.39063109375,False,REGULAR,USD,put,AAPL,2025-11-14,2025-11-09 05:50:24.463177
AAPL251114P00245000,2025-11-07 20:59:52+00:00,245.0,0.12,0.11,0.12,-0.030000009,-20.000004,761.0,2101,0.367193828125,False,REGULAR,USD,put,AAPL,2025-11-14,2025-11-09 05:50:24.463177
AAPL251114P00247500,2025-11-07 20:59:47+00:00,247.5,0.15,0.14,0.15,-0.03999999,-21.052628,321.0,503,0.34570966796874997,False,REGULAR,USD,put,AAPL,2025-11-14,2025-11-09 05:50:24.463177
AAPL251114P00250000,2025-11-07 20:59:59+00:00,250.0,0.19,0.19,0.2,-0.08000001,-29.629633,4404.0,3741,0.327155166015625,False,REGULAR,USD,put,AAPL,2025-11-14,2025-11-09 05:50:24.463177
AAPL251114P00252500,2025-11-07 20:59:07+00:00,252.5,0.28,0.26,0.28,-0.09,-24.324326,2040.0,1815,0.31153032226562494,False,REGULAR,USD,put,AAPL,2025-11-14,2025-11-09 05:50:24.463177
AAPL251114P00255000,2025-11-07 20:59:44+00:00,255.0,0.39,0.35,0.39,-0.13999999,-26.415092,2131.0,3816,0.29395237304687494,False,REGULAR,USD,put,AAPL,2025-11-14,2025-11-09 05:50:24.463177
AAPL251114P00257500,2025-11-07 20:59:57+00:00,257.5,0.58,0.57,0.58,-0.17000002,-22.666668,6441.0,2166,0.28125718749999995,False,REGULAR,USD,put,AAPL,2025-11-14,2025-11-09 05:50:24.463177
